strain	TE	absence_detection	presence_detection	combination	read_number_absence	left_match_length	left_match_id	polyAT_left	left_coverage	left_repeat	left_read_number_presence	left_filtered_read_number_presence	right_match_length	right_match_id	polyAT_right	right_coverage	right_repeat	right_read_number_presence	right_filtered_read_number_presence
SRR2033160	FBti0019720	present	present	present	0	60	100.00(0/60)		19.76		7	7	60	100.00(0/60)		28.83		9	9
SRR2033160	FBti0019173	absent	present	polymorphic	6	60	100.00(0/60)		14.75		8	8	60	100.00(0/60)		11.97		5	5
SRR2033160	FBti0020063	present	present	present	0	60	100.00(0/60)		12.54		10	10	60	100.00(0/60)		9.50		6	6
SRR2033160	FBti0062248		present	polymorphic		60	100.00(0/60)		17.10		4	4	60	100.00(0/60)		16.74	DNAREP1_DSim	7	7
SRR2033160	FBti0020305	present	present	present	0	60	100.00(0/60)		30.63		18	18	60	100.00(0/60)		23.84		15	15
SRR2033160	FBti0059865		present	polymorphic		60	100.00(0/60)		23.85	Copia-1_DFi-I	15	15	60	100.00(0/60)		17.17	PROTOP	5	5
SRR2033160	FBti0019122	absent	present	polymorphic	3	60	100.00(0/60)		11.27		9	9	60	100.00(0/60)		10.53		4	4
SRR2033160	FBti0019365	absent	present	polymorphic	8	60	100.00(0/60)		17.60		10	10	60	100.00(0/60)		5.83		2	2
SRR2033160	FBti0020433	present	present	present	0	60	100.00(0/60)		16.16		18	18	60	100.00(0/60)		12.91		7	7
SRR2033160	FBti0020314		present	polymorphic		60	100.00(0/60)		13.36	Helena_Ds	15	15	60	98.33(1/60)		33.49		18	18
SRR2033160	FBti0061968		present	polymorphic		60	98.33(1/60)		37.03	R1-1_DSi	21	21	60	100.00(0/60)		25.43		18	18
SRR2033160	FBti0062350		present	polymorphic		60	96.67(2/60)		19.04	DM297_LTR	12	12	60	100.00(0/60)		21.65	DNAREP1_DM	13	13
SRR2033160	FBti0060909		present	polymorphic		60	100.00(0/60)		34.56	BEL2-I_Dya	18	18	60	98.33(1/60)		30.35	BEL2-I_Dya	20	20
SRR2033160	FBti0060556		present	polymorphic		60	100.00(0/60)		33.28	DNAREP1_DSim	15	15	60	100.00(0/60)		17.34		12	12
SRR2033160	FBti0020126	absent	present	polymorphic	4	60	100.00(0/60)		11.24		7	7	60	100.00(0/60)		12.32		7	7
SRR2033160	FBti0019298	absent	present	polymorphic	3	60	100.00(0/60)		12.11		2	2	60	100.00(0/60)		17.02		12	12
SRR2033160	FBti0019440	absent	present	polymorphic	6	60	100.00(0/60)		19.98		6	6	60	100.00(0/60)		14.15		4	4
SRR2033160	FBti0059907	present	present	present	0	60	100.00(0/60)		27.46		20	20	60	100.00(0/60)		22.73		11	11
SRR2033160	FBti0020213		present	polymorphic		60	100.00(0/60)		15.42	DNAREP1_DYak	11	11	60	100.00(0/60)		29.07		13	13
SRR2033160	FBti0019341	present	present	present	0	60	100.00(0/60)		17.61	Gypsy-10_DVir-LTR	5	5	60	100.00(0/60)		6.45		8	8
SRR2033160	FBti0062478		present	polymorphic		60	98.33(1/60)		30.14	Helitron-1_DEu	11	11	60	100.00(0/60)		36.38	DNAREP1_DSim	20	20
SRR2033160	FBti0019371		present	polymorphic		60	100.00(0/60)		21.94	(TACA)n	10	10	60	100.00(0/60)		14.49	(TTTG)n	2	2
SRR2033160	FBti0019408	present	present	present	0	60	100.00(0/60)		10.49		7	7	60	100.00(0/60)		6.79		4	4
SRR2033160	FBti0061179		present	polymorphic		60	100.00(0/60)		11.07	Jockey-10_DRh	9	9	60	100.00(0/60)		17.22	DNAREP1_DYak	12	12
SRR2033160	FBti0060988		present	polymorphic		60	100.00(0/60)		26.45	Gypsy-4_DGri-I	17	17	60	100.00(0/60)		24.03		14	14
SRR2033160	FBti0020099	absent	present	polymorphic	6	60	100.00(0/60)		12.41		4	4	60	100.00(0/60)		16.97		9	9
SRR2033160	FBti0063471	present	present	present	0	60	100.00(0/60)		11.71		9	9	60	100.00(0/60)		6.81		3	3
SRR2033160	FBti0020009	absent	present	polymorphic	2	60	100.00(0/60)		9.08		7	7	60	100.00(0/60)		18.27		11	11
SRR2033160	FBti0020082	absent	present	polymorphic	5	60	100.00(0/60)		10.60		5	5	60	100.00(0/60)		15.23		7	7
SRR2033160	FBti0062033		present	polymorphic		60	98.33(1/60)		27.39	(CACA)n	17	17	60	100.00(0/60)		15.60	DNAREP1_DSim	12	12
SRR2033160	FBti0060552		present	polymorphic		60	100.00(0/60)		38.90	Jockey-1_DF	34	34	59	100.00(0/59)		3.87	DNAREP1_DSim	3	3
SRR2033160	FBti0063256	present	present	present	0	60	100.00(0/60)		8.97		3	3	60	100.00(0/60)		13.12	(A)n	4	4
SRR2033160	FBti0019212	present	present	present	0	-27	0(0/0)		4.78	(AT)n	0	0	60	100.00(0/60)		3.52		4	4
SRR2033160	FBti0019379	present	present	present	0	60	100.00(0/60)		21.23		12	12	60	100.00(0/60)		21.06		15	15
SRR2033160	FBti0063259	present	present	present	0	60	100.00(0/60)		24.32	DNAREP1_DSim	17	17	60	100.00(0/60)		18.52		12	12
SRR2033160	FBti0019231	absent	present	polymorphic	6	60	100.00(0/60)		14.17		10	10	60	100.00(0/60)		10.76		6	6
SRR2033160	FBti0019565	absent	present	polymorphic	5	60	100.00(0/60)		14.39		2	2	60	100.00(0/60)		16.68		5	5
SRR2033160	FBti0060011		present	polymorphic		60	100.00(0/60)		25.41	Gypsy-13_DSim-I	15	15	60	100.00(0/60)		26.21	Transib-N1_DM	12	12
SRR2033160	FBti0019271	present	present	present	0	60	100.00(0/60)		7.54		3	3	47	100.00(0/60)		3.38	(TAA)n	0	0
SRR2033160	FBti0019196	absent	present	polymorphic	5	60	100.00(0/60)		15.69		7	7	60	100.00(0/60)		18.89		6	6
SRR2033160	FBti0019929		present	polymorphic		-30	0(0/0)		0.00	BEL-14_DP-I	0	0	60	100.00(0/60)		11.74	Gypsy12A_LTR	5	5
SRR2033160	FBti0061720		present	polymorphic		60	100.00(0/60)		30.96	Jockey-9_DF	24	24	60	100.00(0/60)		18.76		16	16
SRR2033160	FBti0060241		present	polymorphic		60	100.00(0/60)		19.13	DNAREP1_DM	9	9	60	100.00(0/60)		27.11		7	7
SRR2033160	FBti0019017	absent	present	polymorphic	6	60	100.00(0/60)		15.04		6	6	60	100.00(0/60)		13.48	(TACCCAGC)n	9	9
SRR2033160	FBti0020078	absent	present	polymorphic	4	60	100.00(0/60)		11.09	(TAA)n	5	5	60	100.00(0/60)		11.01		8	8
SRR2033160	FBti0019679	absent	present	polymorphic	5	60	100.00(0/60)		21.99		10	10	60	100.00(0/60)		12.92		4	4
SRR2033160	FBti0019754	absent	present	polymorphic	1	60	100.00(0/60)		12.19		7	7	60	100.00(0/60)		4.93		2	2
SRR2033160	FBti0059973		present	polymorphic		60	98.33(1/60)		24.33	Gypsy12A_LTR	16	16	60	100.00(0/60)		11.39		11	11
SRR2033160	FBti0020189		absent	no_data		6	100.00(0/22)		3.35		0	0	-2	0(0/0)		3.97	Helitron-1_DEu	0	0
SRR2033160	FBti0019513		present	polymorphic		60	100.00(0/60)		18.17	DNAREP1_DSim	15	15	60	100.00(0/60)		36.26	Helitron-N2_DEl	19	19
SRR2033160	FBti0062097	present	present	present	0	60	100.00(0/60)		19.78		10	10	60	100.00(0/60)		14.13		12	12
SRR2033160	FBti0061105	present	present	present	0	60	100.00(0/60)		17.57		13	13	60	100.00(0/60)		14.78		10	10
SRR2033160	FBti0063500	present	present	present	0	60	100.00(0/60)		16.49		9	9	60	100.00(0/60)		13.71		8	8
SRR2033160	FBti0062645	present	present	present	0	60	100.00(0/60)		23.62		12	12	60	100.00(0/60)		27.32		12	12
SRR2033160	FBti0060327	present	present	present	0	60	100.00(0/60)		25.41		18	18	60	100.00(0/60)		21.95		8	8
SRR2033160	FBti0019178	absent	present	polymorphic	4	-3	0(0/0)		7.99	(TA)n	0	0	60	100.00(0/60)		13.64		4	4
SRR2033160	FBti0019170	present	present	present	0	60	100.00(0/60)		2.69	(A)n	0	0	60	100.00(0/60)	poly(A)7	5.89		1	1
SRR2033160	FBti0020216		present	polymorphic		60	100.00(0/60)		27.92	Helitron-N1_DBi	15	15	60	100.00(0/60)		7.57		5	5
SRR2033160	FBti0019019	absent	present	polymorphic	9	60	100.00(0/60)		10.76		7	7	60	100.00(0/60)		13.58		9	9
SRR2033160	FBti0018867		absent	no_data		0	0(0/0)		2.88	(TA)n	0	0	0	0(0/0)		5.49	(AT)n	0	0
SRR2033160	FBti0061320	present	present	present	0	60	100.00(0/60)		7.54		3	3	60	100.00(0/60)		9.14		5	5
SRR2033160	FBti0061631		present	polymorphic		60	100.00(0/60)		31.57		25	25	60	100.00(0/60)		27.74	DNAREP1_DSim	20	20
SRR2033160	FBti0019154	absent	present	polymorphic	7	60	100.00(0/60)		7.22		5	5	60	100.00(0/60)		12.12		11	11
SRR2033160	FBti0064097		present	polymorphic		60	98.33(1/60)		20.69	Gypsy-3_DSe-I	12	12	60	100.00(0/60)		33.84	BEL-1_DRh-I	24	24
SRR2033160	FBti0061505	present	present	present	0	60	100.00(0/60)		37.81		22	22	60	100.00(0/60)		30.41		23	23
SRR2033160	FBti0018999	present	present	present	0	60	100.00(0/60)		24.49		22	22	60	100.00(0/60)		19.83		9	9
SRR2033160	FBti0020307	present	present	present	0	60	100.00(0/60)		26.38		6	6	60	100.00(0/60)		16.96		4	4
SRR2033160	FBti0060365		present	polymorphic		60	100.00(0/60)		25.21	TRANSIB1	21	21	60	100.00(0/60)		35.31	Gypsy-34_DEl-I	24	24
SRR2033160	FBti0061016		present	polymorphic		60	100.00(0/60)		10.03		5	5	60	98.33(1/60)		22.67	Gypsy-13_DSim-LTR	14	14
SRR2033160	FBti0020390	absent	present	polymorphic	6	60	100.00(0/60)		18.27		3	3	60	100.00(0/60)		6.67		3	3
SRR2033160	FBti0020112	absent	present	polymorphic	4	60	100.00(0/60)		11.61		5	5	60	100.00(0/60)		12.18	(TAAT)n	7	7
SRR2033160	FBti0062100		present	polymorphic		60	98.33(1/60)		14.56		7	7	60	100.00(0/60)		20.23	Gypsy-4_DBi-LTR	5	5
SRR2033160	FBti0061020		present	polymorphic		60	100.00(0/60)		38.83	Gypsy-13_DSim-I	26	26	60	100.00(0/60)		25.34	Gypsy-13_DSim-I	14	14
SRR2033160	FBti0020038	present	present	present	0	60	100.00(0/60)		9.93		3	3	60	100.00(0/60)		5.94		6	6
SRR2033160	FBti0019135	absent	absent	absent	6	2	100.00(0/2)		10.31		0	0	0	0(0/0)		2.79		0	0
SRR2033160	FBti0063678	present	present	present	0	60	100.00(0/60)		19.10		8	8	60	96.67(2/60)		13.59		2	2
SRR2033160	FBti0060521		present	polymorphic		60	98.33(1/60)		3.83	PROTOP_B	2	2	60	100.00(0/60)		17.81	Gypsy-13_DVir-I	10	10
SRR2033160	FBti0019375	present	present	present	0	-4	0(0/0)		2.09	(TA)n	0	0	60	100.00(0/60)		18.54		10	10
SRR2033160	FBti0061843	present	present	present	0	60	100.00(0/60)		29.44		21	21	60	100.00(0/60)		40.42		25	25
SRR2033160	FBti0019439	absent	present	polymorphic	12	60	100.00(0/60)		15.11		9	9	60	100.00(0/60)		21.02		15	15
SRR2033160	FBti0061010		present	polymorphic		60	100.00(0/60)		19.46	Transib-1_DRh	13	13	60	100.00(0/60)		14.56	Gypsy16-I_Dya	7	7
SRR2033160	FBti0020039	absent	present	polymorphic	2	60	100.00(0/60)		10.64		6	6	0	0(0/0)		2.83		0	0
SRR2033160	FBti0019059	absent	present	polymorphic	6	60	100.00(0/60)		12.56		4	4	60	100.00(0/60)		14.06		6	6
SRR2033160	FBti0019309	absent	present	polymorphic	3	60	100.00(0/60)		17.88		9	9	60	100.00(0/60)		21.99		13	13
SRR2033160	FBti0018905	absent	absent	absent	11	4	100.00(0/4)		4.67		0	0	-7	0(0/0)		2.41	(TGAATA)n	0	0
SRR2033160	FBti0019132	absent	present	polymorphic	1	60	100.00(0/60)		11.96		9	9	60	100.00(0/60)		6.93	(TA)n	2	2
SRR2033160	FBti0019091	absent	present	polymorphic	6	60	100.00(0/60)		21.07		5	5	60	100.00(0/60)		11.07		5	5
SRR2033160	FBti0019976	absent	present	polymorphic	3	60	100.00(0/60)		7.48		2	2	60	100.00(0/60)		2.22		3	3
SRR2033160	FBti0062388	present	present	present	0	60	100.00(0/60)		12.36		8	8	60	100.00(0/60)		28.29		17	17
SRR2033160	FBti0019525	absent	present	polymorphic	3	60	100.00(0/60)		19.73		7	7	60	100.00(0/60)		11.69		1	1
SRR2033160	FBti0060479	present	present	present	0	60	100.00(0/60)		18.05		14	14	60	100.00(0/60)		16.09		7	7
SRR2033160	FBti0019210	absent	present	polymorphic	9	60	100.00(0/60)		12.76		13	13	60	100.00(0/60)		13.03		12	12
SRR2033160	FBti0020086	present	present	present	0	60	100.00(0/60)		23.94	(AACGA)n	15	15	60	100.00(0/60)		23.55		13	13
SRR2033160	FBti0019494		present	polymorphic		60	100.00(0/60)		21.01	Helitron-N2_DT	11	11	60	100.00(0/60)		25.68		20	20
SRR2033160	FBti0061003	present	present	present	0	60	100.00(0/60)		32.44		29	29	60	100.00(0/60)		34.32		24	24
SRR2033160	FBti0059894		present	polymorphic		60	100.00(0/60)		15.77	DNAREP1_DM	14	14	60	98.33(1/60)		17.62	DNAREP1_DM	13	13
SRR2033160	FBti0061485	present	present	present	0	60	100.00(0/60)		29.61		6	6	60	100.00(0/60)		12.28		4	4
SRR2033160	FBti0020162	absent	present	polymorphic	35	60	100.00(0/60)		20.96		14	14	60	100.00(0/60)		25.82		10	10
SRR2033160	FBti0019194	absent	present	polymorphic	5	60	100.00(0/60)		12.01		2	2	60	100.00(0/60)		11.15		1	1
SRR2033160	FBti0020119	present	present	present	0	60	100.00(0/60)		9.45		4	4	60	100.00(0/60)		14.00		10	10
SRR2033160	FBti0019234	present	present	present	0	60	100.00(0/60)		21.33	Tetris_Dvir	6	6	60	100.00(0/60)		14.76		10	10
SRR2033160	FBti0063216	present	present	present	0	60	100.00(0/60)		30.26	R1-5_DYa	21	21	60	100.00(0/60)		31.84		18	18
SRR2033160	FBti0059739		present	polymorphic		60	100.00(0/60)		5.33	Helitron-N1_DBi	1	1	60	100.00(0/60)		15.06		5	5
SRR2033160	FBti0064030		present	polymorphic		60	98.33(1/60)		18.40		10	10	60	100.00(0/60)		35.95	Gypsy-3_DSe-I	29	29
SRR2033160	FBti0020150	absent	present	polymorphic	9	60	100.00(0/60)		10.85		6	6	60	100.00(0/60)		11.53		6	6
SRR2033160	FBti0063534	present	present	present	0	60	100.00(0/60)		16.94	P-1_DY	8	8	60	100.00(0/60)		26.26		8	8
SRR2033160	FBti0020053	absent	present	polymorphic	2	60	100.00(0/60)		3.42		2	2	60	100.00(0/60)		16.01		14	14
SRR2033160	FBti0019130	absent	present	polymorphic	1	59	100.00(0/60)		10.04	(TA)n	3	3	60	100.00(0/60)		16.17		11	11
SRR2033160	FBti0020309	present	present	present	0	60	100.00(0/60)		17.61		11	11	60	100.00(0/60)		20.77		22	22
SRR2033160	FBti0019657	absent	present	polymorphic	7	47	100.00(0/47)		3.74		1	1	60	100.00(0/60)		10.24		4	4
SRR2033160	FBti0020122	absent	present	polymorphic	5	23	100.00(0/23)		3.74		1	1	60	100.00(0/60)		10.75		6	6
SRR2033160	FBti0019940		present	polymorphic		60	100.00(0/60)		24.52		14	14	60	100.00(0/60)		19.27	(TTTATT)n	13	13
SRR2033160	FBti0060995		present	polymorphic		60	100.00(0/60)		35.95		20	20	60	100.00(0/60)		28.22	DNA3-1_DF	11	11
SRR2033160	FBti0062300		present	polymorphic		60	100.00(0/60)		24.29	I_DM	15	15	60	98.33(1/60)		21.30		8	8
SRR2033160	FBti0019621	absent	present	polymorphic	5	60	100.00(0/60)		6.74		0	0	60	100.00(0/60)		8.97		3	3
SRR2033160	FBti0059852	present	present	present	0	60	98.33(1/60)		33.45		21	21	60	98.33(1/60)		28.52		15	15
SRR2033160	FBti0063315		present	polymorphic		60	100.00(0/60)		12.64	Gypsy-15_DWil-I	7	7	60	100.00(0/60)		29.77		20	20
SRR2033160	FBti0063538	present	present	present	0	60	100.00(0/60)		30.89		19	19	60	100.00(0/60)		11.38		9	9
SRR2033160	FBti0062210	present	present	present	0	60	100.00(0/60)		20.38		13	13	60	100.00(0/60)		21.58		5	5
SRR2033160	FBti0062863	present	no_data	no_data	0	-30	0(0/0)		2.55	A-rich	0	0	-28	0(0/0)		3.88		0	0
SRR2033160	FBti0019001	absent	present	polymorphic	3	60	100.00(0/60)		6.76		3	3	60	100.00(0/60)		9.84		5	5
SRR2033160	FBti0019171	present	present	present	0	8	100.00(0/8)	poly(A)4	3.85		0	0	60	100.00(0/60)		14.76		11	11
SRR2033160	FBti0061844	present	present	present	0	60	98.33(1/60)		34.44		11	11	60	96.67(2/60)		21.33		10	10
SRR2033160	FBti0060614		present	polymorphic		60	100.00(0/60)		26.79		16	16	60	100.00(0/60)		19.14	DNAREP1_DM	11	11
SRR2033160	FBti0019459	absent	absent	absent	16	-7	0(0/0)		4.99		0	0	-1	0(0/0)		5.97		0	0
SRR2033160	FBti0062728		present	polymorphic		60	100.00(0/60)		21.02	Gypsy8-I_Dya	7	7	60	100.00(0/60)		32.62	DNAREP1_DSim	22	22
SRR2033160	FBti0060886		present	polymorphic		33	98.33(1/60)		1.29	PROTOP_B	0	0	60	100.00(0/60)		25.56		18	18
SRR2033160	FBti0062874	present	present	present	0	60	98.33(1/60)		27.42		26	26	60	96.67(2/60)		27.26		10	10
SRR2033160	FBti0061428		present	polymorphic		60	100.00(0/60)		22.91	Gypsy-27_DYa-LTR	9	9	60	96.67(2/60)		23.41	Gypsy-27_DYa-LTR	19	19
SRR2033160	FBti0059664		present	polymorphic		60	98.33(1/60)		24.26	BEL-4_DBi-I	16	16	60	100.00(0/60)		10.72	(GAATA)n	3	3
SRR2033160	FBti0060363		present	polymorphic		60	100.00(0/60)		20.49	Gypsy-6_DSe-I	21	21	60	98.33(1/60)		28.14	Gypsy-6_DSe-I	16	16
SRR2033160	FBti0019282	present	present	present	0	60	100.00(0/60)		1.91	(AT)n	1	1	60	100.00(0/60)		15.65	(TATATG)n	8	8
SRR2033160	FBti0020329	present	present	present	0	60	100.00(0/60)		18.02		8	8	60	100.00(0/60)		24.89		16	16
SRR2033160	FBti0019602	absent	present	polymorphic	10	60	100.00(0/60)		14.56		4	4	60	100.00(0/60)		17.18		9	9
SRR2033160	FBti0063263	present	present	present	0	60	100.00(0/60)		11.43		9	9	60	100.00(0/60)		15.07		14	14
SRR2033160	FBti0020029	absent	absent	absent	17	-3	0(0/0)		8.82		0	0	0	0(0/0)		7.51		0	0
SRR2033160	FBti0060319		present	polymorphic		60	100.00(0/60)		24.98		19	19	60	100.00(0/60)		34.14	DMCR1A	17	17
SRR2033160	FBti0019405	absent	present	polymorphic	8	60	100.00(0/60)	poly(A)5	7.26		2	2	60	100.00(0/60)		11.64		5	5
SRR2033160	FBti0019606	absent	present	polymorphic	6	60	100.00(0/60)		13.58		6	6	60	100.00(0/60)		14.69		0	0
SRR2033160	FBti0019622	absent	present	polymorphic	10	60	100.00(0/60)		17.89	(TCCTGC)n	10	10	60	100.00(0/60)		10.53		5	5
SRR2033160	FBti0020392	absent	present	polymorphic	7	60	100.00(0/60)		8.41		2	2	60	98.33(1/60)		9.58		1	1
SRR2033160	FBti0059793		present	polymorphic		60	100.00(0/60)		14.78	(TG)n	9	9	60	100.00(0/60)		8.37		2	2
SRR2033160	FBti0019393	absent	present	polymorphic	1	60	100.00(0/60)		12.56		8	8	60	100.00(0/60)		10.66		4	4
SRR2033160	FBti0019522	absent	present	polymorphic	7	60	100.00(0/60)		14.21		4	4	60	100.00(0/60)		14.77		6	6
SRR2033160	FBti0018944	present	present	present	0	60	100.00(0/60)		20.21		12	12	60	98.33(1/60)		12.28		8	8
SRR2033160	FBti0062030	present	present	present	0	60	100.00(0/60)		14.12		8	8	60	100.00(0/60)		25.07		13	13
SRR2033160	FBti0020020	absent	present	polymorphic	5	60	100.00(0/60)		12.13		6	6	60	100.00(0/60)		19.90		6	6
SRR2033160	FBti0061313		present	polymorphic		60	98.33(1/60)		35.94	DNAREP1_DM	30	30	60	98.33(1/60)		45.15		21	21
SRR2033160	FBti0019205	absent	present	polymorphic	8	60	100.00(0/60)		15.64		9	9	60	100.00(0/60)		15.03		9	9
SRR2033160	FBti0019659	absent	absent	absent	19	-8	0(0/0)		5.58		0	0	-16	0(0/0)		2.03	(GT)n	0	0
SRR2033160	FBti0019103	present	present	present	0	60	100.00(0/60)		8.97		6	6	60	100.00(0/60)		10.38		7	7
SRR2033160	FBti0019610	absent	present	polymorphic	3	60	100.00(0/60)		16.20		5	5	60	100.00(0/60)		18.70		9	9
SRR2033160	FBti0059932	present	present	present	0	60	98.33(1/60)		9.26		9	9	59	100.00(0/59)		20.44		13	13
SRR2033160	FBti0019301	absent	present	polymorphic	12	60	100.00(0/60)		18.19		8	8	60	100.00(0/60)		15.81		5	5
SRR2033160	FBti0020043	absent	present	polymorphic	8	60	100.00(0/60)		8.71		3	3	60	100.00(0/60)		13.51		7	7
SRR2033160	FBti0019145	absent	present	polymorphic	6	60	100.00(0/60)		19.21		7	7	60	100.00(0/60)		13.81		15	15
SRR2033160	FBti0064151	present	present	present	0	60	100.00(0/60)		36.37		12	12	60	100.00(0/60)		31.30		21	21
SRR2033160	FBti0019600	absent	present	polymorphic	6	21	100.00(0/25)		4.08		0	0	60	100.00(0/60)		8.89	(TCTGGA)n	4	4
SRR2033160	FBti0062114		present	polymorphic		60	100.00(0/60)		31.89	Jockey-5_DYa	24	24	60	100.00(0/60)		31.50	Jockey-5_DYa	26	26
SRR2033160	FBti0019088	present	present	present	0	10	100.00(0/10)		4.44	(TA)n	0	0	60	100.00(0/60)		8.10		4	4
SRR2033160	FBti0062283	present	present	present	0	60	100.00(0/60)		5.94	(ATATATA)n	6	6	60	100.00(0/60)		17.36		7	7
SRR2033160	FBti0019514		present	polymorphic		60	100.00(0/60)		14.78	Gypsy-1_DSim-I	7	7	60	100.00(0/60)		10.19	Gypsy-1_DSim-LTR	5	5
SRR2033160	FBti0019737		present	polymorphic		60	100.00(0/60)		24.74		13	13	60	100.00(0/60)		15.47	Helitron-N1_DBi	11	11
SRR2033160	FBti0063502	present	present	present	0	60	100.00(0/60)		31.99		15	15	60	100.00(0/60)		34.95	(AC)n	23	23
SRR2033160	FBti0020087	absent	present	polymorphic	5	60	100.00(0/60)		6.34		2	2	60	100.00(0/60)		16.19		12	12
SRR2033160	FBti0019010	present	present	present	0	60	100.00(0/60)		6.58	(ATATACA)n	3	3	60	100.00(0/60)		6.56		4	4
SRR2033160	FBti0019551	present	present	present	0	60	100.00(0/60)		13.08		4	4	60	100.00(0/60)		10.92		9	9
SRR2033160	FBti0019471	absent	present	polymorphic	8	60	100.00(0/60)		26.44		13	13	60	100.00(0/60)		10.76		10	10
SRR2033160	FBti0019096	absent	present	polymorphic	3	60	100.00(0/60)		11.10		5	5	60	100.00(0/60)		12.01		5	5
SRR2033160	FBti0061303	absent	present	polymorphic	9	60	100.00(0/60)		17.74		11	11	60	100.00(0/60)		14.10		5	5
SRR2033160	FBti0019973	present	present	present	0	60	100.00(0/60)		27.01		8	8	60	100.00(0/60)		10.77		3	3
SRR2033160	FBti0062610		present	polymorphic		60	100.00(0/60)		29.91	DNAREP1_DSim	23	23	60	100.00(0/60)		28.40	Helitron-1_DEu	21	21
SRR2033160	FBti0020027	absent	present	polymorphic	4	60	100.00(0/60)		14.47	(TA)n	6	6	60	100.00(0/60)		17.84		5	5
SRR2033160	FBti0018868	present	present	present	0	60	100.00(0/60)		14.41		8	8	60	100.00(0/60)		11.07		6	6
SRR2033160	FBti0020085	absent	present	polymorphic	4	60	100.00(0/60)		14.79		3	3	60	100.00(0/60)		7.64		5	5
SRR2033160	FBti0062838	present	present	present	0	60	100.00(0/60)		19.68		15	15	60	100.00(0/60)		19.68		8	8
SRR2033160	FBti0061747	present	present	present	0	60	100.00(0/60)		20.23		15	15	60	100.00(0/60)		21.69		11	11
SRR2033160	FBti0018961	absent	present	polymorphic	7	60	100.00(0/60)		12.24		4	4	60	100.00(0/60)		14.72		6	6
SRR2033160	FBti0020109	present	present	present	0	60	100.00(0/60)		7.71		4	4	60	100.00(0/60)		5.09		2	2
SRR2033160	FBti0019415	present	present	present	0	60	100.00(0/60)		12.57		7	7	60	100.00(0/60)		18.78		11	11
SRR2033160	FBti0019118	absent	present	polymorphic	4	60	100.00(0/60)		11.66		10	10	60	100.00(0/60)		11.43		6	6
SRR2033160	FBti0061821	present	present	present	0	60	100.00(0/60)		20.38	Mariner-20_DAn	13	13	60	100.00(0/60)		17.87		14	14
SRR2033160	FBti0061656		present	polymorphic		60	100.00(0/60)		17.19		13	13	60	100.00(0/60)		32.96	DNAREP1_DSim	33	33
SRR2033160	FBti0064056		present	polymorphic		60	100.00(0/60)		27.43	Gypsy-8_DEl-I	19	19	60	100.00(0/60)		18.23	DNAREP1_DSim	13	13
SRR2033160	FBti0063125		present	polymorphic		60	100.00(0/60)		17.34	Gypsy-17_DTa-I	3	3	60	100.00(0/60)		7.91	Gypsy-17_DTa-I	5	5
SRR2033160	FBti0063362	present	present	present	0	60	100.00(0/60)		34.36		25	25	60	100.00(0/60)		36.54		23	23
SRR2033160	FBti0018880	present	present	present	0	60	100.00(0/60)		16.16	(TTAA)n	7	7	60	100.00(0/60)		10.80	A-rich	4	4
SRR2033160	FBti0019667		present	polymorphic		60	100.00(0/60)		24.34	DNAREP1_DSim	13	13	60	100.00(0/60)		12.03	Polinton-1_DY	0	0
SRR2033160	FBti0063720	absent	present	polymorphic	2	60	100.00(0/60)		15.38		2	2	60	100.00(0/60)		19.15		14	14
SRR2033160	FBti0019025	absent	present	polymorphic	6	60	100.00(0/60)		14.36		9	9	60	100.00(0/60)		14.19		4	4
SRR2033160	FBti0062876	present	present	present	0	60	98.33(1/60)		14.68		9	9	60	100.00(0/60)		27.31		14	14
SRR2033160	FBti0060156		present	polymorphic		60	100.00(0/60)		34.03	Gypsy-13_DSim-I	17	17	60	100.00(0/60)		25.01	Gypsy-13_DSim-I	17	17
SRR2033160	FBti0060907		present	polymorphic		60	100.00(0/60)		5.01	(TTATA)n	5	5	60	100.00(0/60)		29.56		22	22
SRR2033160	FBti0063030	present	present	present	0	60	96.67(2/60)		23.38		16	16	60	96.67(2/60)		21.29	(TCAGTT)n	10	10
SRR2033160	FBti0020235		present	polymorphic		60	100.00(0/60)		12.39	LSU-rRNA_Dme	9	9	60	100.00(0/60)		7.62	A-rich	5	5
SRR2033160	FBti0062174		present	polymorphic		60	100.00(0/60)		27.19		20	20	60	100.00(0/60)		8.54	PROTOP	3	3
SRR2033160	FBti0019258	present	present	present	0	60	100.00(0/60)		23.54		12	12	60	100.00(0/60)		28.89		11	11
SRR2033160	FBti0061311		present	polymorphic		60	100.00(0/60)		22.01	Gypsy-8_DTa-I	7	7	60	100.00(0/60)		39.12	Gypsy-8_DTa-I	22	22
SRR2033160	FBti0019624	absent	present	polymorphic	9	60	100.00(0/60)		8.24		1	1	60	100.00(0/60)		15.97		10	10
SRR2033160	FBti0019402	absent	present	polymorphic	3	60	100.00(0/60)		10.21		11	11	60	100.00(0/60)		10.72		4	4
SRR2033160	FBti0063807		present	polymorphic		60	100.00(0/60)		28.82	Copia-2_DBp-I	20	20	60	100.00(0/60)		24.89		15	15
SRR2033160	FBti0020393	absent	present	polymorphic	2	60	100.00(0/60)		18.13		9	9	60	100.00(0/60)		9.54		7	7
SRR2033160	FBti0019568	absent	present	polymorphic	2	60	100.00(0/60)		18.35		11	11	60	100.00(0/60)		6.06	(TTA)n	4	4
